VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,trip_duration_minutes,Airport_fee,tip_segment
2,03:56.0,14:21.0,1,2.51,1,N,261,158,2,14.2,1,0.5,0,0,1,19.2,2.5,10.4166666709352,0,Low
2,27:22.0,44:25.0,1,5.87,1,N,65,112,1,26.1,1,0.5,5.72,0,1,34.32,0,17.0500000042375,0,Low
1,20:45.0,27:11.0,1,0.8,1,N,144,79,1,7.2,3.5,0.5,3.05,0,1,15.25,2.5,6.43333333893679,0,Low
1,29:22.0,36:59.0,1,1.3,1,N,113,158,1,7.9,3.5,0.5,2.6,0,1,15.5,2.5,7.61666666599922,0,Low
2,30:24.0,40:10.0,1,1.98,1,N,163,238,1,12.1,1,0.5,3.42,0,1,20.52,2.5,9.76666666567326,0,Low
2,55:54.0,00:58.0,1,0.95,1,N,246,234,1,7.2,1,0.5,2.44,0,1,14.64,2.5,5.06666666711681,0,Low
2,42:50.0,56:59.0,1,4.21,1,N,113,236,1,19.1,1,0.5,4.82,0,1,28.92,2.5,14.1500000073574,0,Low
2,00:34.0,06:42.0,1,1.31,1,N,231,249,2,8.6,1,0.5,0,0,1,13.6,2.5,6.13333334214985,0,Low
2,40:59.0,43:56.0,1,0.75,1,N,107,137,1,5.8,1,0.5,1.08,0,1,11.88,2.5,2.94999999809079,0,Low
2,45:02.0,54:25.0,1,1.81,1,N,170,90,1,11.4,1,0.5,3.28,0,1,19.68,2.5,9.38333333702758,0,Low
2,25:51.0,38:46.0,1,2.12,1,N,100,237,1,13.5,1,0.5,3.7,0,1,22.2,2.5,12.9166666686069,0,Low
2,57:02.0,33:25.0,1,21.1,1,N,132,181,1,80.7,1,0.5,0,0,1,84.95,0,36.3833333307412,1.75,Low
1,06:13.0,21:33.0,1,2.6,1,N,166,43,2,17.7,3.5,0.5,0,0,1,22.7,2.5,15.3333333344199,0,Low
2,59:40.0,34:56.0,2,19.15,2,N,132,79,1,70,0,0.5,15.15,0,1,90.9,2.5,35.2666666754521,1.75,Low
2,12:36.0,40:48.0,2,14.71,2,N,132,107,2,70,0,0.5,0,6.94,1,80.94,2.5,28.2000000018161,0,Low
2,23:17.0,35:09.0,1,2.1,1,N,137,246,1,13.5,1,0.5,3.7,0,1,22.2,2.5,11.8666666641366,0,Low
2,51:38.0,16:28.0,1,6.36,1,N,158,75,1,29.6,1,0.5,8.65,0,1,43.25,2.5,24.8333333339542,0,Low
1,01:11.0,10:00.0,2,0.8,1,N,68,48,1,8.6,3.5,0.5,3.4,0,1,17,2.5,8.81666666362435,0,Low
2,00:15.0,13:09.0,1,2.53,1,N,162,143,2,14.9,1,0.5,0,0,1,19.9,2.5,12.9000000085216,0,Low
2,05:44.0,08:04.0,1,0.76,1,N,90,249,1,5.1,1,0.5,1.01,0,1,11.11,2.5,2.33333333395422,0,Low
2,32:08.0,33:27.0,1,0.3,1,N,193,146,1,4.4,1,0.5,1,0,1,7.9,0,1.31666667060927,0,Low
2,47:56.0,53:54.0,2,1.52,1,N,230,90,1,8.6,1,0.5,3.4,0,1,17,2.5,5.96666665747762,0,Low
1,04:56.0,18:29.0,1,0.9,1,N,68,50,1,12.8,3.5,0.5,3.55,0,1,21.35,2.5,13.5500000033062,0,Low
2,52:39.0,17:51.0,1,15.5,1,N,132,112,1,59,1,0.5,12.3,0,1,75.55,0,25.2000000025146,1.75,Low
2,11:56.0,17:44.0,2,2.21,1,N,140,137,2,10.7,1,0.5,0,0,1,15.7,2.5,5.79999999376014,0,Low
2,48:09.0,52:23.0,2,0.65,1,N,140,141,1,6.5,1,0.5,2.3,0,1,13.8,2.5,4.23333332757466,0,Low
